Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 15.44      3.15     3.15 260261481     0.01     0.01  b2Vec2::b2Vec2(float, float)
                0.02    0.02 1475222/59700628     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [60]
                0.02    0.02 1497264/59700628     b2ContactSolver::SolveTOIPositionConstraints(int, int) [39]
                0.03    0.03 2128707/59700628     b2ContactSolver::SolvePositionConstraints() [32]
                0.03    0.03 2346530/59700628     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [17]
                0.04    0.04 3097093/59700628     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.10    0.09 7251064/59700628     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [6]
                0.17    0.15 12297108/59700628     b2Sweep::GetTransform(b2Transform*, float) const [9]
                0.31    0.27 22093636/59700628     b2ContactSolver::SolveVelocityConstraints() [2]
[4]      7.7    0.84    0.72 59700628         operator*(float, b2Vec2 const&) [4]
                0.72    0.00 59700628/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[5]      6.8    0.99    0.40                 b2World::SolveTOI(b2TimeStep const&) [5]
                0.14    0.00 49223304/57057044     b2Fixture::GetBody() [43]
                0.13    0.00 24611652/26798723     b2Contact::GetFixtureB() [48]
                0.11    0.00 24611652/26798723     b2Contact::GetFixtureA() [54]
                0.02    0.00 1462868/4594226     b2Fixture::GetShape() [79]
                0.00    0.00  348304/1311388     b2Body::SetAwake(bool) [134]
                0.00    0.00  179114/28485383     float b2Min<float>(float, float) [29]
-----------------------------------------------
                                                 <spontaneous>
[6]      4.8    0.51    0.47                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [6]
                0.10    0.09 7251064/59700628     operator*(float, b2Vec2 const&) [4]
                0.10    0.09 7251040/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.05    0.04 3625544/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00      56/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[7]      3.9    0.15    0.64                 b2Vec2::operator-() const [7]
                0.61    0.00 10201634/10913823     b2Vec2::Set(float, float) [12]
                0.04    0.00 10201634/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[8]      3.8    0.50    0.28                 b2Mul(b2Transform const&, b2Vec2 const&) [8]
                0.28    0.00 23069590/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[9]      3.5    0.23    0.49                 b2Sweep::GetTransform(b2Transform*, float) const [9]
                0.17    0.15 12297108/59700628     operator*(float, b2Vec2 const&) [4]
                0.09    0.07 6148554/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[10]     3.5    0.35    0.36                 b2Max(b2Vec2 const&, b2Vec2 const&) [10]
                0.24    0.00 20935616/31160989     float b2Max<float>(float, float) [21]
                0.13    0.00 10467808/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       3/25385185     b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [212]
                0.00    0.00       6/25385185     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00     115/25385185     b2DynamicTree::CreateProxy(b2AABB const&, void*) [199]
                0.00    0.00     425/25385185     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00   15750/25385185     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [130]
                0.00    0.00   17123/25385185     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   27631/25385185     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [173]
                0.00    0.00   34036/25385185     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [49]
                0.00    0.00   40000/25385185     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   52010/25385185     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.00    0.00  137907/25385185     b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [92]
                0.00    0.00  203028/25385185     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [25]
                0.00    0.00  274679/25385185     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [62]
                0.00    0.00  288051/25385185     b2ContactSolver::WarmStart() [70]
                0.00    0.00  299180/25385185     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [76]
                0.00    0.00  320000/25385185     b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [84]
                0.01    0.00  349098/25385185     b2Sweep::Advance(float) [111]
                0.01    0.01  466978/25385185     b2ContactSolver::InitializeVelocityConstraints() [31]
                0.01    0.01  545405/25385185     b2Simplex::GetClosestPoint() const [86]
                0.01    0.01  556367/25385185     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.01    0.01  737640/25385185     b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const [60]
                0.01    0.01  933956/25385185     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
                0.02    0.01 1173265/25385185     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [17]
                0.02    0.02 1384848/25385185     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [30]
                0.05    0.04 3625544/25385185     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [6]
                0.09    0.07 6148554/25385185     b2Sweep::GetTransform(b2Transform*, float) const [9]
                0.12    0.09 7753586/25385185     b2ContactSolver::SolveVelocityConstraints() [2]
[11]     3.4    0.38    0.31 25385185         operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.31    0.00 25385185/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       1/10913823     cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00       1/10913823     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00       4/10913823     Ball::Ball(b2World*, float, float, float, float) [205]
                0.00    0.00       8/10913823     b2PulleyJointDef::b2PulleyJointDef() [206]
                0.00    0.00      32/10913823     b2RevoluteJointDef::b2RevoluteJointDef() [202]
                0.00    0.00      85/10913823     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00     128/10913823     cs296::dominos_t::dominos_t() [191]
                0.00    0.00     128/10913823     b2PolygonShape::SetAsBox(float, float, b2Vec2 const&, float) [198]
                0.00    0.00     200/10913823     b2PolygonShape::SetAsBox(float, float) [195]
                0.00    0.00     204/10913823     b2BodyDef::b2BodyDef() [194]
                0.00    0.00   32848/10913823     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
                0.00    0.00   36630/10913823     b2ContactSolver::InitializeVelocityConstraints() [31]
                0.00    0.00   43560/10913823     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [112]
                0.04    0.00  598360/10913823     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [76]
                0.61    0.00 10201634/10913823     b2Vec2::operator-() const [7]
[12]     3.2    0.65    0.00 10913823         b2Vec2::Set(float, float) [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.9    0.17    0.43                 b2TestOverlap(b2AABB const&, b2AABB const&) [13]
                0.20    0.18 14978584/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.05    0.00 14978584/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[14]     2.9    0.30    0.29                 b2Cross(float, b2Vec2 const&) [14]
                0.29    0.00 23781569/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       4/40343085     b2Body::SetLinearVelocity(b2Vec2 const&) [215]
                0.00    0.00      18/40343085     b2CircleShape::ComputeMass(b2MassData*, float) const [211]
                0.00    0.00      84/40343085     b2Body::ResetMassData() [196]
                0.00    0.00     170/40343085     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00   35944/40343085     b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [176]
                0.00    0.00   82951/40343085     b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [156]
                0.00    0.00   88972/40343085     b2EPCollider::ComputeEdgeSeparation() [175]
                0.00    0.00  110524/40343085     b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [132]
                0.00    0.00  138155/40343085     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [173]
                0.00    0.00  191639/40343085     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [112]
                0.00    0.00  195792/40343085     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [130]
                0.00    0.00  274679/40343085     b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [62]
                0.00    0.00  302551/40343085     b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [116]
                0.00    0.00  320000/40343085     b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [84]
                0.00    0.00  341828/40343085     b2EPCollider::ComputePolygonSeparation() [131]
                0.00    0.00  348307/40343085     b2Island::SolveTOI(b2TimeStep const&, int, int) [63]
                0.01    0.00  434130/40343085     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
                0.01    0.00  466978/40343085     b2ContactSolver::InitializeVelocityConstraints() [31]
                0.01    0.00  491850/40343085     b2Simplex::Solve3() [103]
                0.01    0.00  524302/40343085     b2SeparationFunction::Evaluate(int, int, float) const [105]
                0.01    0.00  798173/40343085     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.01    0.00  907466/40343085     b2SeparationFunction::FindMinSeparation(int*, int*, float) const [71]
                0.02    0.00 1208657/40343085     b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [49]
                0.02    0.00 1583606/40343085     b2Simplex::Solve2() [77]
                0.02    0.00 1656848/40343085     b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [61]
                0.05    0.00 3578091/40343085     b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [25]
                0.09    0.00 6659815/40343085     b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [27]
                0.10    0.00 7465584/40343085     b2ContactSolver::SolveVelocityConstraints() [2]
                0.17    0.00 12135967/40343085     b2DistanceProxy::GetSupport(b2Vec2 const&) const [20]
[15]     2.7    0.56    0.00 40343085         b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     2.6    0.21    0.33                 b2Min(b2Vec2 const&, b2Vec2 const&) [16]
                0.20    0.00 20935616/28485383     float b2Min<float>(float, float) [29]
                0.13    0.00 10467808/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[17]     2.6    0.25    0.27                 b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [17]
                0.06    0.06 4693060/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.03    0.03 2346530/59700628     operator*(float, b2Vec2 const&) [4]
                0.03    0.03 1173265/3667157     b2Vec2::Length() const [37]
                0.02    0.01 1173265/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[18]     2.5    0.27    0.23                 b2Mul(b2Rot const&, b2Vec2 const&) [18]
                0.23    0.00 19275897/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[19]     2.0    0.29    0.13                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.04    0.04 3097093/59700628     operator*(float, b2Vec2 const&) [4]
                0.02    0.00  572085/649023      b2Vec2::operator*=(float) [119]
                0.01    0.01  556367/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.01    0.00  798173/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   15718/3667157     b2Vec2::Length() const [37]
                0.00    0.00   22291/28485383     float b2Min<float>(float, float) [29]
                0.00    0.00     157/1311388     b2Body::SetAwake(bool) [134]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.8    0.19    0.17                 b2DistanceProxy::GetSupport(b2Vec2 const&) const [20]
                0.17    0.00 12135967/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                0.01    0.00  731434/31160989     b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [67]
                0.04    0.00 3439752/31160989     b2ContactSolver::SolveVelocityConstraints() [2]
                0.07    0.00 6054187/31160989     float b2Clamp<float>(float, float, float) [34]
                0.24    0.00 20935616/31160989     b2Max(b2Vec2 const&, b2Vec2 const&) [10]
[21]     1.7    0.35    0.00 31160989         float b2Max<float>(float, float) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.7    0.29    0.05                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [22]
                0.02    0.02 1690671/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00 1690671/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[23]     1.6    0.34    0.00                 b2Cross(b2Vec2 const&, b2Vec2 const&) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     1.5    0.30    0.01                 b2Mat33::Solve22(b2Vec2 const&) const [24]
                0.01    0.00 3625512/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[25]     1.5    0.13    0.18                 b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [25]
                0.06    0.06 4673263/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.05    0.00 3578091/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00  203028/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00  203028/59700628     operator*(float, b2Vec2 const&) [4]
-----------------------------------------------
                0.00    0.00       1/86561947     __static_initialization_and_destruction_0(int, int) [222]
                0.00    0.00       1/86561947     cs296::base_sim_t::base_sim_t() [192]
                0.00    0.00       1/86561947     b2World::b2World(b2Vec2 const&) [226]
                0.00    0.00       1/86561947     ComputeCentroid(b2Vec2 const*, int) [207]
                0.00    0.00       8/86561947     b2PulleyJointDef::b2PulleyJointDef() [206]
                0.00    0.00      10/86561947     cs296::dominos_t::dominos_t() [191]
                0.00    0.00      20/86561947     b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*) [218]
                0.00    0.00      24/86561947     b2EdgeShape::b2EdgeShape() [216]
                0.00    0.00      32/86561947     b2RevoluteJointDef::b2RevoluteJointDef() [202]
                0.00    0.00      38/86561947     b2CircleShape::b2CircleShape() [204]
                0.00    0.00      85/86561947     b2PolygonShape::ComputeMass(b2MassData*, float) const [157]
                0.00    0.00     103/86561947     b2MassData::b2MassData() [209]
                0.00    0.00     204/86561947     b2BodyDef::b2BodyDef() [194]
                0.00    0.00     224/86561947     b2Body::b2Body(b2BodyDef const*, b2World*) [201]
                0.00    0.00     276/86561947     b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*) [203]
                0.00    0.00    2312/86561947     b2PolygonShape::b2PolygonShape() [197]
                0.00    0.00    4096/86561947     cs296::contact_point_t::contact_point_t() [193]
                0.00    0.00   93846/86561947     b2ManifoldPoint::b2ManifoldPoint() [189]
                0.00    0.00   93846/86561947     b2Manifold::b2Manifold() [188]
                0.00    0.00  106585/86561947     b2ReferenceFace::b2ReferenceFace() [187]
                0.00    0.00  146520/86561947     b2ContactSolver::SolveVelocityConstraints() [2]
                0.00    0.00  244673/86561947     b2EPCollider::b2EPCollider() [181]
                0.00    0.00  293688/86561947     b2ClipVertex::b2ClipVertex() [179]
                0.00    0.00  355888/86561947     b2TempPolygon::b2TempPolygon() [177]
                0.00    0.00 1173265/86561947     b2Mat22::Solve(b2Vec2 const&) const [87]
                0.00    0.00 1344852/86561947     b2WorldManifold::b2WorldManifold() [102]
                0.01    0.00 1463336/86561947     b2SeparationFunction::b2SeparationFunction() [101]
                0.01    0.00 1690671/86561947     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [22]
                0.01    0.00 1821682/86561947     b2DistanceOutput::b2DistanceOutput() [113]
                0.01    0.00 2383160/86561947     b2Mat22::b2Mat22() [155]
                0.01    0.00 2417314/86561947     b2PositionSolverManifold::b2PositionSolverManifold() [153]
                0.01    0.00 3625512/86561947     b2Mat33::Solve22(b2Vec2 const&) const [24]
                0.02    0.00 5851472/86561947     b2DistanceProxy::b2DistanceProxy() [74]
                0.03    0.00 8197569/86561947     b2SimplexVertex::b2SimplexVertex() [85]
                0.03    0.00 8778948/86561947     b2Sweep::b2Sweep() [78]
                0.03    0.00 9505234/86561947     b2AABB::b2AABB() [68]
                0.04    0.00 10201634/86561947     b2Vec2::operator-() const [7]
                0.04    0.00 11786232/86561947     b2Transform::b2Transform() [51]
                0.05    0.00 14978584/86561947     b2TestOverlap(b2AABB const&, b2AABB const&) [13]
[26]     1.5    0.30    0.00 86561947         b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     1.5    0.17    0.13                 b2EdgeSeparation(b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [27]
                0.09    0.00 6659815/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.02    0.02 1331963/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[28]     1.4    0.29    0.00                 b2Contact::IsEnabled() const [28]
-----------------------------------------------
                0.00    0.00       2/28485383     Ball::render() [214]
                0.00    0.00   22291/28485383     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.00    0.00   85516/28485383     b2EPCollider::ComputePolygonSeparation() [131]
                0.00    0.00  179114/28485383     b2World::SolveTOI(b2TimeStep const&) [5]
                0.00    0.00  499088/28485383     b2ContactSolver::SolveTOIPositionConstraints(int, int) [39]
                0.01    0.00  709569/28485383     b2ContactSolver::SolvePositionConstraints() [32]
                0.06    0.00 6054187/28485383     float b2Clamp<float>(float, float, float) [34]
                0.20    0.00 20935616/28485383     b2Min(b2Vec2 const&, b2Vec2 const&) [16]
[29]     1.3    0.27    0.00 28485383         float b2Min<float>(float, float) [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     1.3    0.18    0.09                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [30]
                0.02    0.02 1384848/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.02    0.02 1384848/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.02    0.00 1384848/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[31]     1.3    0.14    0.13                 b2ContactSolver::InitializeVelocityConstraints() [31]
                0.04    0.03 2764480/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.03    0.00  448284/448284      b2WorldManifold::b2WorldManifold() [102]
                0.01    0.01  466978/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.01    0.00  466978/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   36630/10913823     b2Vec2::Set(float, float) [12]
                0.00    0.00  448284/1169255     b2Contact::GetManifold() [159]
-----------------------------------------------
                                                 <spontaneous>
[32]     1.1    0.10    0.13                 b2ContactSolver::SolvePositionConstraints() [32]
                0.04    0.03 2838276/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.03    0.03 2128707/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.00  709569/28485383     float b2Min<float>(float, float) [29]
-----------------------------------------------
                                                 <spontaneous>
[33]     1.1    0.21    0.00                 b2Rot::Set(float) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     1.0    0.09    0.13                 float b2Clamp<float>(float, float, float) [34]
                0.07    0.00 6054187/31160989     float b2Max<float>(float, float) [21]
                0.06    0.00 6054187/28485383     float b2Min<float>(float, float) [29]
-----------------------------------------------
                                                 <spontaneous>
[35]     1.0    0.20    0.00                 b2Vec2::operator-=(b2Vec2 const&) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     1.0    0.11    0.09                 b2MulT(b2Rot const&, b2Vec2 const&) [36]
                0.09    0.00 7393369/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                0.00    0.00       2/3667157     Ball::render() [214]
                0.00    0.00       4/3667157     b2PulleyJointDef::Initialize(b2Body*, b2Body*, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, b2Vec2 const&, float) [210]
                0.00    0.00   15718/3667157     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [19]
                0.00    0.00   40000/3667157     b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [154]
                0.00    0.00   52010/3667157     b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [104]
                0.03    0.02 1011887/3667157     b2Vec2::Normalize() [64]
                0.03    0.03 1173265/3667157     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [17]
                0.04    0.03 1374271/3667157     b2Distance(b2Vec2 const&, b2Vec2 const&) [56]
[37]     0.9    0.10    0.09 3667157         b2Vec2::Length() const [37]
                0.09    0.00 3667157/3714080     std::sqrt(float) [65]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.9    0.17    0.01                 b2World::Solve(b2TimeStep const&) [38]
                0.01    0.00  713996/1311388     b2Body::SetAwake(bool) [134]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.9    0.08    0.09                 b2ContactSolver::SolveTOIPositionConstraints(int, int) [39]
                0.03    0.02 1996352/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.02    0.02 1497264/59700628     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  499088/28485383     float b2Min<float>(float, float) [29]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.8    0.12    0.05                 b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [40]
                0.01    0.01  906380/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.01  906380/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00  453190/260261481     b2Vec2::b2Vec2(float, float) [1]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.8    0.17    0.00                 b2Vec2::operator+=(b2Vec2 const&) [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.8    0.17    0.00                 b2Body::IsAwake() const [42]
-----------------------------------------------
                0.00    0.00   93472/57057044     b2ContactManager::Destroy(b2Contact*) [182]
                0.00    0.00  896568/57057044     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
                0.00    0.00  937864/57057044     b2ContactManager::AddPair(void*, void*) [127]
                0.01    0.00 2234790/57057044     b2Contact::Update(b2ContactListener*) [55]
                0.01    0.00 3671046/57057044     b2ContactManager::Collide() [73]
                0.14    0.00 49223304/57057044     b2World::SolveTOI(b2TimeStep const&) [5]
[43]     0.8    0.16    0.00 57057044         b2Fixture::GetBody() [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.8    0.16    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.7    0.15    0.00                 b2Fixture::IsSensor() const [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.7    0.10    0.05                 b2DynamicTree::InsertLeaf(int) [46]
                0.03    0.02 3068700/4752617     b2AABB::b2AABB() [68]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.7    0.12    0.03                 b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&) [47]
                0.01    0.01 1005509/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00   46736/26798723     b2ContactManager::Destroy(b2Contact*) [182]
                0.00    0.00   46736/26798723     b2Contact::Destroy(b2Contact*, b2BlockAllocator*) [185]
                0.00    0.00  258076/26798723     b2ContactManager::AddPair(void*, void*) [127]
                0.01    0.00 1835523/26798723     b2ContactManager::Collide() [73]
                0.13    0.00 24611652/26798723     b2World::SolveTOI(b2TimeStep const&) [5]
[48]     0.7    0.14    0.00 26798723         b2Contact::GetFixtureB() [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.7    0.09    0.05                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [49]
                0.02    0.02 1242693/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.02    0.00 1208657/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   34036/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00   34036/59700628     operator*(float, b2Vec2 const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.7    0.04    0.09                 b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [50]
                0.02    0.02 1400934/59700628     operator*(float, b2Vec2 const&) [4]
                0.01    0.01  933956/25385185     operator+(b2Vec2 const&, b2Vec2 const&) [11]
                0.01    0.01  933956/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00  434130/40343085     b2Dot(b2Vec2 const&, b2Vec2 const&) [15]
                0.00    0.00   32848/10913823     b2Vec2::Set(float, float) [12]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.6    0.09    0.04                 b2Transform::b2Transform() [51]
                0.04    0.00 11786232/86561947     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.6    0.09    0.03                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
                0.02    0.00  933956/2102964     b2Vec2::SetZero() [95]
                0.01    0.00  896568/4594226     b2Fixture::GetShape() [79]
                0.00    0.00  896568/57057044     b2Fixture::GetBody() [43]
                0.00    0.00  448284/1169255     b2Contact::GetManifold() [159]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.6    0.07    0.05                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [53]
                0.02    0.01 1683916/4752617     b2AABB::b2AABB() [68]
                0.01    0.01  841958/72747625     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00   46736/26798723     b2ContactManager::Destroy(b2Contact*) [182]
